"Indicator","PUBLISH STATES","Year","Age Group","Sex","Region","Causes","Display Value","Numeric","Low","High","Comments"
"Deaths per 100 000 population","Published","2000","15-29  years","Female","High-income","Other infectious diseases","0.5","0.50197","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","High-income","Schistosomiasis","0.0","0.00819","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","High-income","Trypanosomiasis","0.0","0.00242","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","High-income","Neural tube defects","0.0","0.03915","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","High-income","Urolithiasis","0.0","0.00323","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","High-income","Road injury","13.9","13.87054","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","High-income","Cardiomyopathy, myocarditis, endocarditis","8.1","8.14476","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Other circulatory diseases","29.2","29.24120","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","High-income","Nutritional deficiencies","0.2","0.22846","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","High-income","Other genitourinary diseases","4.0","3.95007","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","High-income","Macular degeneration","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","High-income","Other musculoskeletal disorders","0.1","0.08254","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","All Causes","877.9","877.88757","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","High-income","Leukaemia","17.3","17.31081","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","High-income","Parasitic and vector diseases","0.1","0.09650","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Meningitis","0.3","0.29979","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","High-income","Road injury","10.3","10.31504","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","High-income","Refractive errors","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","High-income","Other neoplasms","0.3","0.31538","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","High-income","Colon and rectum cancers","16.5","16.51347","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Chronic obstructive pulmonary disease","0.0","0.04667","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Lymphatic filariasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","High-income","Dental caries","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","Hookworm disease","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","High-income","Liver cancer","19.0","19.01965","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","High-income","Chronic obstructive pulmonary disease","1.4","1.41196","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Leishmaniasis","0.0","0.00778","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","High-income","Trichomoniasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Skin diseases","1.3","1.27414","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","High-income","Hypertensive heart disease","0.1","0.10809","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","HIV/AIDS","1.1","1.11382","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","High-income","Epilepsy","1.8","1.76004","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","High-income","Eating disorders","0.1","0.09841","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Periodontal disease","0.0","0.00114","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","High-income","Other nutritional deficiencies","0.0","0.04011","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Neural tube defects","0.1","0.06222","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Communicable & other Group I","63.8","63.75459","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","High-income","Periodontal disease","0.0","0.00354","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","High-income","Sense organ diseases","0.0","0.02429","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Other STDs","0.0","0.00130","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","High-income","Other genitourinary diseases","0.1","0.14398","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Chagas disease","0.0","0.01136","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","High-income","Measles","0.0","0.01134","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Other mental and behavioural disorders","0.5","0.52474","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","High-income","Neonatal conditions","0.0","0.00354","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Upper respiratory infections","0.2","0.18722","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","High-income","Peptic ulcer disease","0.0","0.01077","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","High-income","Whooping cough","0.0","0.00430","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","High-income","Neurological conditions","28.4","28.40842","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","High-income","Mouth and oropharynx cancers","0.0","0.02341","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Skin diseases","1.1","1.05800","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","High-income","Back and neck pain","0.0","0.02223","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","High-income","Neurological conditions","34.8","34.83779","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","High-income","Childhood-cluster diseases","0.0","0.00751","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","High-income","Asthma","1.4","1.36506","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Leishmaniasis","0.0","0.00733","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","High-income","Whooping cough","0.0","0.03928","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","High-income","Interpersonal violence","12.3","12.31024","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","High-income","Trachea, bronchus, lung cancers","29.8","29.78935","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","High-income","Diabetes mellitus","45.6","45.61542","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","High-income","Cataracts","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","High-income","Melanoma and other skin cancers","0.2","0.20270","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","High-income","Glaucoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","High-income","Otitis media","0.1","0.06377","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","High-income","Encephalitis","0.2","0.15073","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","High-income","Lower respiratory infections","0.9","0.92890","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","High-income","Other respiratory diseases","1.2","1.15912","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Back and neck pain","0.1","0.13562","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Edentulism","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Lymphatic filariasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","High-income","Urolithiasis","0.0","0.01162","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","High-income","Oesophagus cancer","33.0","33.03970","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","High-income","Cataracts","0.0","0.01833","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Pancreas cancer","0.0","0.00389","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","High-income","Trypanosomiasis","0.0","0.00150","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","High-income","Poisonings","2.1","2.05118","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Corpus uteri cancer","4.9","4.87452","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Cardiomyopathy, myocarditis, endocarditis","7.3","7.34523","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","High-income","Collective violence and legal intervention","0.8","0.76546","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","Other hearing loss","0.0","0.00938","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","Infertility","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","High-income","Maternal conditions","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","High-income","Drug use disorders","6.0","5.97827","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","High-income","Diarrhoeal diseases","0.2","0.24694","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","High-income","Otitis media","0.0","0.00142","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","High-income","Pervasive developmental disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","High-income","All Causes","950.8","950.77679","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","High-income","Other circulatory diseases","1.8","1.77797","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","High-income","HIV/AIDS","3.1","3.05702","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","High-income","Protein-energy malnutrition","0.4","0.42995","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","High-income","Leishmaniasis","0.0","0.00599","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Migraine","0.0","0.00085","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","High-income","Chronic obstructive pulmonary disease","0.1","0.11093","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","High-income","Self-harm","35.5","35.47068","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","High-income","Dengue","0.0","0.04657","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","High-income","Other congenital anomalies","0.2","0.24628","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","High-income","Cirrhosis of the liver","59.4","59.36050","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Hookworm disease","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Multiple sclerosis","0.9","0.91366","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","High-income","Iodine deficiency","0.0","0.00306","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","High-income","Bipolar disorder","0.0","0.01180","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","High-income","Unipolar depressive disorders","0.2","0.21617","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","High-income","Other malignant neoplasms","1.5","1.49472","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","High-income","Syphilis","0.1","0.10236","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","High-income","Stroke","26.5","26.50275","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","High-income","Childhood behavioural disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Mental and behavioral disorders","7.0","6.96584","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","High-income","Other musculoskeletal disorders","4.4","4.37268","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Exposure to forces of nature","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Intestinal nematode infections","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","HIV/AIDS","1.9","1.91760","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","High-income","Collective violence and legal intervention","0.0","0.03321","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","High-income","Migraine","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","High-income","Prostate cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","High-income","Cervix uteri cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Other nutritional deficiencies","0.1","0.12272","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","High-income","Trachoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","Acute hepatitis B","1.9","1.87356","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","High-income","Multiple sclerosis","0.0","0.03146","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","High-income","Other congenital anomalies","1.2","1.20239","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","High-income","Diarrhoeal diseases","2.5","2.52724","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","High-income","Birth asphyxia and birth trauma","0.0","0.00347","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","High-income","Stomach cancer","0.0","0.00283","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","High-income","Osteoarthritis","0.1","0.14144","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","High-income","Intentional injuries","23.7","23.70864","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","High-income","Ascariasis","0.0","0.00054","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","High-income","Neonatal conditions","0.0","0.00150","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","High-income","Oral conditions","0.0","0.01000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","High-income","Rheumatic heart disease","3.2","3.15698","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","High-income","Other musculoskeletal disorders","0.2","0.24190","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","High-income","Mouth and oropharynx cancers","7.7","7.70767","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","High-income","Malaria","0.0","0.02776","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Lymphomas, multiple myeloma","11.4","11.38199","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Other STDs","0.1","0.08309","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Encephalitis","0.1","0.05704","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","High-income","Poisonings","0.3","0.33263","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","High-income","Corpus uteri cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","High-income","Non-migraine headache","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","Dental caries","0.2","0.16649","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","High-income","Trachoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","High-income","Glaucoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","High-income","Injuries","37.2","37.17474","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","High-income","Other neonatal conditions","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","High-income","Other nutritional deficiencies","0.0","0.00227","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","High-income","Edentulism","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Other vision loss","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","High-income","Drowning","1.0","1.04819","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","High-income","Measles","0.0","0.00389","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Bipolar disorder","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","High-income","Neurological conditions","398.4","398.41061","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","High-income","Chlamydia","0.0","0.00081","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","High-income","Noncommunicable diseases","107.1","107.08790","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","High-income","Chronic obstructive pulmonary disease","14.1","14.11151","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","High-income","Parasitic and vector diseases","0.1","0.07512","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","High-income","Drug use disorders","1.1","1.07724","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","High-income","Leishmaniasis","0.0","0.00472","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Bladder cancer","3.5","3.45818","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","High-income","Idiopathic intellectual disability","0.0","0.03272","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","High-income","Neonatal sepsis and infections","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","High-income","Diabetes mellitus","1.8","1.76715","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Cardiomyopathy, myocarditis, endocarditis","7.1","7.13702","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","High-income","Maternal conditions","0.1","0.05398","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","High-income","Alcohol use disorders","15.4","15.43366","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","High-income","Childhood behavioural disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","Maternal conditions","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Oral conditions","0.0","0.03354","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Acute hepatitis B","0.6","0.58432","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","High-income","Chagas disease","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","High-income","Cirrhosis of the liver","0.0","0.03636","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","High-income","Rheumatic heart disease","1.8","1.78048","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","High-income","Gonorrhoea","0.0","0.01128","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Dental caries","0.0","0.02230","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Anxiety disorders","0.0","0.00142","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","High-income","Ischaemic heart disease","48.8","48.83967","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","High-income","Trichomoniasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","Prostate cancer","252.5","252.52660","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","High-income","Osteoarthritis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","High-income","Ovary cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","High-income","Congenital anomalies","1.5","1.50030","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","High-income","Other malignant neoplasms","1.7","1.67431","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","High-income","Hypertensive heart disease","1.2","1.19440","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","High-income","Other neurological conditions","7.2","7.19098","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","High-income","Acute hepatitis B","0.0","0.03477","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","High-income","HIV/AIDS","0.5","0.49393","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","Epilepsy","3.2","3.19138","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","High-income","Congenital anomalies","0.9","0.94142","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","High-income","Schizophrenia","0.4","0.39156","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","High-income","Mouth and oropharynx cancers","4.6","4.58140","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Encephalitis","0.1","0.06224","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","High-income","Intentional injuries","45.0","44.95716","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Colon and rectum cancers","27.1","27.10660","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","High-income","Gynecological diseases","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","High-income","Trichuriasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","High-income","Lymphatic filariasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","High-income","Hyperplasia of prostate","0.3","0.34912","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","High-income","Upper respiratory infections","0.0","0.01550","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Parasitic and vector diseases","0.1","0.11408","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","High-income","Nutritional deficiencies","0.4","0.41826","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","High-income","Dental caries","0.0","0.00454","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Digestive diseases","33.0","33.00901","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Refractive errors","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","High-income","Neural tube defects","0.0","0.02247","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Kidney diseases","14.9","14.89918","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Osteoarthritis","0.0","0.00000","","",""
