"Indicator","PUBLISH STATES","Year","Age Group","Sex","Region","Causes","Display Value","Numeric","Low","High","Comments"
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Upper-middle-income","Gout","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Upper-middle-income","Trichuriasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Upper-middle-income","Eating disorders","0.1","0.12513","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Upper-middle-income","Self-harm","14.1","14.09273","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Upper-middle-income","Diabetes mellitus","28.0","27.99247","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Upper-middle-income","Ischaemic heart disease","21.7","21.71759","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Neural tube defects","0.1","0.08502","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Nutritional deficiencies","2.8","2.79804","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Iodine deficiency","0.1","0.08745","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Upper-middle-income","Other digestive diseases","10.5","10.53045","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Upper-middle-income","Intentional injuries","53.6","53.56556","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Upper-middle-income","Other malignant neoplasms","1.8","1.78330","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Upper-middle-income","Other neonatal conditions","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Trichuriasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Upper-middle-income","Vitamin A deficiency","0.0","0.00175","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Upper-middle-income","Ovary cancer","0.0","0.01340","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Upper-middle-income","Neonatal conditions","0.0","0.02053","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Other STDs","0.1","0.09561","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Upper-middle-income","Respiratory infections","1.9","1.92091","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Upper-middle-income","Macular degeneration","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Upper-middle-income","Other mental and behavioural disorders","0.0","0.03326","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Upper-middle-income","Diarrhoeal diseases","12.2","12.18510","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Upper-middle-income","Gynecological diseases","0.4","0.36407","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Upper-middle-income","Anxiety disorders","0.0","0.00117","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Upper-middle-income","Sense organ diseases","0.0","0.00647","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Upper-middle-income","Liver cancer","85.4","85.38129","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Upper-middle-income","Drowning","6.9","6.88553","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Upper-middle-income","Encephalitis","0.2","0.15432","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Upper-middle-income","Dental caries","0.0","0.00377","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Upper-middle-income","Hyperplasia of prostate","0.0","0.00936","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Upper-middle-income","Tetanus","0.0","0.01729","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Upper-middle-income","Gout","0.1","0.07264","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Upper-middle-income","Gonorrhoea","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Upper-middle-income","Parasitic and vector diseases","3.0","3.00723","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Upper-middle-income","Other infectious diseases","22.3","22.31200","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Upper-middle-income","Chagas disease","0.3","0.27874","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Colon and rectum cancers","90.1","90.11964","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Upper-middle-income","Communicable & other Group I","66.5","66.52795","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Upper-middle-income","Genitourinary diseases","15.1","15.05293","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Upper-middle-income","Cervix uteri cancer","16.3","16.30200","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Upper-middle-income","HIV/AIDS","0.6","0.59754","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Upper-middle-income","Intestinal nematode infections","0.0","0.04880","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Upper-middle-income","Glaucoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Upper-middle-income","Tuberculosis","7.1","7.11320","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Upper-middle-income","Stroke","2.9","2.89585","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Upper-middle-income","Other malignant neoplasms","5.8","5.78294","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Upper-middle-income","HIV/AIDS","3.9","3.91913","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Colon and rectum cancers","10.4","10.43328","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Mental and behavioral disorders","11.4","11.41889","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Upper-middle-income","Neonatal sepsis and infections","2.7","2.66711","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Upper-middle-income","Other infectious diseases","3.4","3.35078","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Upper-middle-income","Hyperplasia of prostate","0.0","0.00647","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Upper-middle-income","Edentulism","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Dental caries","0.1","0.05591","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Upper-middle-income","Leishmaniasis","0.2","0.22986","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Upper-middle-income","Glaucoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Upper-middle-income","Injuries","73.4","73.38362","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Upper-middle-income","Unipolar depressive disorders","0.4","0.43119","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Trachea, bronchus, lung cancers","43.7","43.67877","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Infertility","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Other vision loss","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Upper-middle-income","Asthma","28.8","28.77733","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Upper-middle-income","Stomach cancer","47.8","47.83733","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Schistosomiasis","0.3","0.31209","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Upper-middle-income","Neurological conditions","13.0","12.96162","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Upper-middle-income","Protein-energy malnutrition","0.5","0.50780","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Upper-middle-income","Poisonings","2.7","2.71654","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Upper-middle-income","Childhood behavioural disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Upper-middle-income","Migraine","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Upper-middle-income","Corpus uteri cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Upper-middle-income","Iodine deficiency","0.0","0.00873","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Upper-middle-income","Other neurological conditions","4.7","4.73368","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Upper-middle-income","Congenital anomalies","4.3","4.26793","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Upper-middle-income","STDs excluding HIV","0.1","0.08497","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Migraine","0.0","0.00143","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Upper-middle-income","Alzheimer's disease and other dementias","0.2","0.16584","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Upper-middle-income","Whooping cough","0.0","0.00845","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Upper-middle-income","Drowning","4.2","4.16581","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Upper-middle-income","Hypertensive heart disease","20.0","19.95224","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Upper-middle-income","Peptic ulcer disease","0.7","0.71738","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Upper-middle-income","Malaria","0.2","0.16500","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Upper-middle-income","Leprosy","0.0","0.01128","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Upper-middle-income","Migraine","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Other genitourinary diseases","2.9","2.91794","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Upper-middle-income","Other congenital anomalies","0.4","0.41463","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Upper-middle-income","Noncommunicable diseases","19.5","19.52991","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Intestinal nematode infections","0.0","0.04444","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Upper-middle-income","Multiple sclerosis","0.5","0.50235","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Upper-middle-income","Upper respiratory infections","0.0","0.02307","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Upper-middle-income","Neurological conditions","3.8","3.76019","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Upper-middle-income","Other chromosomal anomalies","0.1","0.10286","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Upper-middle-income","Rheumatoid arthritis","0.2","0.24325","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Upper-middle-income","Neonatal conditions","23.6","23.56120","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Upper-middle-income","Exposure to forces of nature","0.1","0.05555","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Upper-middle-income","Syphilis","0.3","0.30002","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Upper-middle-income","Onchocerciasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Upper-middle-income","Digestive diseases","22.2","22.22308","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Upper-middle-income","Parkinson's disease","0.1","0.07102","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Upper-middle-income","Bladder cancer","9.4","9.42871","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Upper-middle-income","Cardiovascular diseases","7.3","7.30946","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Upper-middle-income","Rabies","0.1","0.09485","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Mouth and oropharynx cancers","11.1","11.13647","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Upper-middle-income","Stroke","293.4","293.41959","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Upper-middle-income","Cervix uteri cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Upper-middle-income","Asthma","0.8","0.81183","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Upper-middle-income","Interpersonal violence","0.6","0.64798","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Upper-middle-income","Falls","14.1","14.06182","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Upper-middle-income","Breast cancer","0.5","0.48214","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Self-harm","8.7","8.72061","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Upper-middle-income","Gout","0.0","0.00117","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Upper-middle-income","Rheumatic heart disease","1.3","1.30720","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Upper-middle-income","Birth asphyxia and birth trauma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Upper-middle-income","Multiple sclerosis","0.6","0.64086","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Upper-middle-income","Leprosy","0.0","0.01751","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Upper-middle-income","Other neoplasms","1.0","1.00047","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Upper-middle-income","Other congenital anomalies","0.3","0.33552","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Upper-middle-income","Measles","0.0","0.00702","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Upper-middle-income","Sense organ diseases","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Stomach cancer","0.4","0.38279","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Upper-middle-income","Preterm birth complications","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Upper-middle-income","Other vision loss","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Upper-middle-income","Genitourinary diseases","131.6","131.59560","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Upper-middle-income","Neural tube defects","0.0","0.03802","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Upper-middle-income","Iron-deficiency anaemia","8.2","8.16741","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Meningitis","1.7","1.69798","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Upper-middle-income","Infertility","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Upper-middle-income","Oral conditions","0.0","0.01403","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Upper-middle-income","Skin diseases","1.0","0.98303","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Upper-middle-income","Iron-deficiency anaemia","1.7","1.70750","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Upper-middle-income","Macular degeneration","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Upper-middle-income","Other chromosomal anomalies","0.1","0.06712","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Upper-middle-income","Trypanosomiasis","0.1","0.10429","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Upper-middle-income","Schizophrenia","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Upper-middle-income","Whooping cough","0.1","0.07729","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Upper-middle-income","Other STDs","0.1","0.11695","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Upper-middle-income","Melanoma and other skin cancers","1.1","1.05552","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Upper-middle-income","Mouth and oropharynx cancers","0.1","0.07145","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Upper-middle-income","Rabies","0.2","0.24726","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Upper-middle-income","Malignant neoplasms","616.9","616.88171","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Upper-middle-income","Gonorrhoea","0.0","0.02461","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Upper-middle-income","Corpus uteri cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Upper-middle-income","Neonatal conditions","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Upper-middle-income","Parkinson's disease","0.4","0.38818","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Upper-middle-income","Intentional injuries","30.2","30.23827","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Trichomoniasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Upper-middle-income","Maternal conditions","0.0","0.02201","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Upper-middle-income","Lymphomas, multiple myeloma","0.5","0.54745","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Upper-middle-income","Musculoskeletal diseases","0.4","0.41946","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Upper-middle-income","Neonatal sepsis and infections","0.0","0.01805","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Upper-middle-income","Noncommunicable diseases","1530.4","1530.39294","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Upper-middle-income","Schizophrenia","1.1","1.10371","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Upper-middle-income","Colon and rectum cancers","2.8","2.78856","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Upper-middle-income","Tetanus","0.3","0.25662","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Upper-middle-income","Eating disorders","1.2","1.16411","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Ovary cancer","0.4","0.36620","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Preterm birth complications","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Upper-middle-income","Dental caries","0.0","0.00627","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Upper-middle-income","Other circulatory diseases","19.9","19.89805","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Upper-middle-income","Unintentional injuries","210.3","210.31340","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Upper-middle-income","Ascariasis","0.0","0.01521","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Upper-middle-income","Lymphomas, multiple myeloma","2.9","2.91027","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Upper-middle-income","Other unintentional injuries","9.3","9.25892","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Upper-middle-income","Alcohol use disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Other unintentional injuries","3.9","3.92523","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Upper-middle-income","Other vision loss","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Upper-middle-income","Down's syndrome","0.1","0.06115","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Upper-middle-income","Noncommunicable diseases","586.3","586.26062","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Lymphomas, multiple myeloma","0.6","0.60399","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Upper-middle-income","Syphilis","0.1","0.07559","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Upper-middle-income","Intentional injuries","34.4","34.35559","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Upper-middle-income","Birth asphyxia and birth trauma","0.0","0.00554","","",""
